AIM-Spice Version 2019.100  (Built on Aug 27 2019)
Simulation started on Tue Nov 12 13:41:12 2019
Circuit: * A simulation of all four pixels
Analysis: Transient Analysis
Time,v(erase),v(expose),v(n211),v(nre_r1),v(nre_r2),v(out_c1),v(out_c2)
1.00907924887891e-03,0.00000000000000e+00,5.44754932734551e-01,1.91281655874090e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259907196777e+00,1.77181954065654e+00
1.01037356991117e-03,0.00000000000000e+00,6.22414194670373e-01,1.96781909130189e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259941049769e+00,1.77181990577468e+00
1.01171217774881e-03,0.00000000000000e+00,7.02730664928790e-01,2.01814424182020e-02,1.80000000000000e+00,1.80000000000000e+00,1.77259975028170e+00,1.77182020887175e+00
1.01315077178970e-03,0.00000000000000e+00,7.89046307381912e-01,2.07775352586485e-02,1.80000000000000e+00,1.80000000000000e+00,1.77260012654497e+00,1.77182063733100e+00
1.01602795987147e-03,0.00000000000000e+00,9.61677592288168e-01,2.19324606269193e-02,1.80000000000000e+00,1.80000000000000e+00,1.77260087387648e+00,1.77182130175065e+00
1.02178233603501e-03,0.00000000000000e+00,1.30694016210068e+00,2.42654193687745e-02,1.80000000000000e+00,1.80000000000000e+00,1.77260273370248e+00,1.77182293271509e+00
1.03000000000000e-03,0.00000000000000e+00,1.80000000000000e+00,2.75932602579122e-02,1.80000000000000e+00,1.80000000000000e+00,1.77260472151550e+00,1.77182505182172e+00
1.03115087523271e-03,0.00000000000000e+00,1.80000000000000e+00,2.77757802790879e-02,1.80000000000000e+00,1.80000000000000e+00,1.77260475699973e+00,1.77182520909362e+00
1.03345262569813e-03,0.00000000000000e+00,1.80000000000000e+00,2.81391538084540e-02,1.80000000000000e+00,1.80000000000000e+00,1.77260539161839e+00,1.77182578590231e+00
1.03805612662896e-03,0.00000000000000e+00,1.80000000000000e+00,2.88644821621057e-02,1.80000000000000e+00,1.80000000000000e+00,1.77260678599311e+00,1.77182700400086e+00
1.04726312849063e-03,0.00000000000000e+00,1.80000000000000e+00,3.03124235887223e-02,1.80000000000000e+00,1.80000000000000e+00,1.77260938589078e+00,1.77182943501397e+00
1.06567713221396e-03,0.00000000000000e+00,1.80000000000000e+00,3.32118481193693e-02,1.80000000000000e+00,1.80000000000000e+00,1.77261606323095e+00,1.77183531919398e+00
1.10250513966063e-03,0.00000000000000e+00,1.80000000000000e+00,3.90153278705337e-02,1.80000000000000e+00,1.80000000000000e+00,1.77262674569619e+00,1.77184559048753e+00
1.17616115455396e-03,0.00000000000000e+00,1.80000000000000e+00,5.06089966981672e-02,1.80000000000000e+00,1.80000000000000e+00,1.77265556770231e+00,1.77186924149573e+00
1.32347318434063e-03,0.00000000000000e+00,1.80000000000000e+00,7.37767144382923e-02,1.80000000000000e+00,1.80000000000000e+00,1.77269795282210e+00,1.77191242870655e+00
1.56347318434063e-03,0.00000000000000e+00,1.80000000000000e+00,1.11514792407557e-01,1.80000000000000e+00,1.80000000000000e+00,1.77278822151211e+00,1.77199863440523e+00
1.80347318434063e-03,0.00000000000000e+00,1.80000000000000e+00,1.49224025841206e-01,1.80000000000000e+00,1.80000000000000e+00,1.77285393356221e+00,1.77206513138604e+00
2.04347318434063e-03,0.00000000000000e+00,1.80000000000000e+00,1.86904712705058e-01,1.80000000000000e+00,1.80000000000000e+00,1.77294278487854e+00,1.77214625176012e+00
2.28347318434063e-03,0.00000000000000e+00,1.80000000000000e+00,2.24557021084209e-01,1.80000000000000e+00,1.80000000000000e+00,1.77300327979326e+00,1.77222742573030e+00
2.52347318434063e-03,0.00000000000000e+00,1.80000000000000e+00,2.62181091214143e-01,1.80000000000000e+00,1.80000000000000e+00,1.77309456446843e+00,1.77231759179179e+00
2.76347318434063e-03,0.00000000000000e+00,1.80000000000000e+00,2.99777047397709e-01,1.80000000000000e+00,1.80000000000000e+00,1.77316002108739e+00,1.77238335850840e+00
3.00347318434063e-03,0.00000000000000e+00,1.80000000000000e+00,3.37345018337294e-01,1.80000000000000e+00,1.80000000000000e+00,1.77324332709878e+00,1.77246613419652e+00
3.24347318434063e-03,0.00000000000000e+00,1.80000000000000e+00,3.74883828156985e-01,1.80000000000000e+00,1.80000000000000e+00,1.77330827648545e+00,1.77254167121289e+00
3.48347318434063e-03,0.00000000000000e+00,1.80000000000000e+00,4.12393285295163e-01,1.80000000000000e+00,1.80000000000000e+00,1.77340419096510e+00,1.77261938711639e+00
3.72347318434063e-03,0.00000000000000e+00,1.80000000000000e+00,4.49875962705544e-01,1.80000000000000e+00,1.80000000000000e+00,1.77346990446254e+00,1.77270509593853e+00
3.96347318434063e-03,0.00000000000000e+00,1.80000000000000e+00,4.87332050003381e-01,1.80000000000000e+00,1.80000000000000e+00,1.77355408134549e+00,1.77278059626822e+00
4.03000000000000e-03,0.00000000000000e+00,1.79999999999997e+00,4.97707498647685e-01,1.80000000000000e+00,1.80000000000000e+00,1.77356764631313e+00,1.77281290678636e+00
4.03300000000000e-03,0.00000000000000e+00,1.62000000000000e+00,4.97434094753223e-01,1.80000000000000e+00,1.80000000000000e+00,1.77356853946456e+00,1.77281855248292e+00
4.03900000000000e-03,0.00000000000000e+00,1.26000000000001e+00,4.96894416298219e-01,1.80000000000000e+00,1.80000000000000e+00,1.77357050052789e+00,1.77282057765924e+00
4.05100000000000e-03,0.00000000000000e+00,5.40000000000015e-01,4.96669309929122e-01,1.80000000000000e+00,1.80000000000000e+00,1.77357457052261e+00,1.77282743108912e+00
